Date 	Value
6/17/2017 10:31:01	3.658
6/17/2017 14:31:01	3.658
6/17/2017 18:31:01	3.658
6/17/2017 22:31:01	3.658
6/18/2017 02:31:01	3.658
6/18/2017 06:31:01	3.721
6/18/2017 10:31:01	3.721
6/18/2017 14:31:01	3.721
6/18/2017 18:31:01	3.721
6/18/2017 22:31:01	3.847
6/19/2017 02:31:01	3.973
6/19/2017 06:31:01	4.098
6/19/2017 10:31:01	4.161
6/19/2017 14:31:01	4.161
6/19/2017 18:31:01	4.224
6/19/2017 22:31:01	4.287
6/20/2017 02:31:01	4.35
6/20/2017 06:31:01	4.475
6/20/2017 10:31:01	4.538
6/20/2017 14:31:01	4.538
6/20/2017 18:31:01	4.538
6/20/2017 22:31:01	4.538
6/21/2017 02:31:01	4.538
6/21/2017 06:31:01	4.538
6/21/2017 10:31:01	4.538
6/21/2017 14:31:01	4.538
6/21/2017 18:31:01	4.538
6/21/2017 22:31:01	4.538
6/22/2017 02:31:01	4.664
6/22/2017 06:31:01	4.79
6/22/2017 10:31:01	4.853
6/22/2017 14:31:01	4.853
6/22/2017 18:31:01	4.853
6/22/2017 22:31:01	4.915
6/23/2017 02:31:01	5.041
6/23/2017 06:31:01	5.167
6/23/2017 10:31:01	5.167
6/23/2017 14:31:01	5.167
6/23/2017 18:31:01	5.167
6/23/2017 22:31:01	5.167
6/24/2017 02:31:01	5.167
6/24/2017 06:31:01	5.167
6/24/2017 10:31:01	5.167
6/24/2017 14:31:01	5.104
6/24/2017 18:31:01	5.041
6/24/2017 22:31:01	4.978
6/25/2017 02:31:01	4.978
6/25/2017 06:31:01	4.978
6/25/2017 10:31:01	4.915
6/25/2017 14:31:01	4.915
6/25/2017 18:31:01	4.853
6/25/2017 22:31:01	4.853
6/26/2017 02:31:01	4.915
6/26/2017 06:31:01	4.915
6/26/2017 10:31:01	4.915
6/26/2017 14:31:01	4.853
6/26/2017 18:31:01	4.853
6/26/2017 22:31:01	4.915
6/27/2017 02:31:01	5.041
6/27/2017 06:31:01	5.104
6/27/2017 10:31:01	5.167
6/27/2017 14:31:01	5.167
6/27/2017 18:31:01	5.23
6/27/2017 22:31:01	5.355
6/28/2017 02:31:01	5.481
6/28/2017 06:31:01	5.607
6/28/2017 10:31:01	5.732
6/28/2017 14:31:01	5.732
6/28/2017 18:31:01	5.732
6/28/2017 22:31:01	5.795
6/29/2017 02:31:01	5.921
6/29/2017 06:31:01	5.984
6/29/2017 10:31:01	6.047
6/29/2017 14:31:01	6.047
6/29/2017 18:31:01	6.047
6/29/2017 22:31:01	6.109
6/30/2017 02:31:01	6.235
6/30/2017 06:31:01	6.361
6/30/2017 10:31:01	6.361
6/30/2017 14:31:01	6.361
6/30/2017 18:31:01	6.361
6/30/2017 22:31:01	6.424
7/1/2017 02:31:01	6.549
7/1/2017 06:31:01	6.675
7/1/2017 10:31:01	6.738
7/1/2017 14:31:01	6.738
7/1/2017 18:31:01	6.675
7/1/2017 22:31:01	6.738
7/2/2017 02:31:01	6.738
7/2/2017 06:31:01	6.738
7/2/2017 10:31:01	6.738
7/2/2017 14:31:01	6.675
7/2/2017 18:31:01	6.612
7/2/2017 22:31:01	6.549
7/3/2017 02:31:01	6.486
7/3/2017 06:31:01	6.424
7/3/2017 10:31:01	6.298
7/3/2017 14:31:01	6.172
7/3/2017 18:31:01	6.109
7/3/2017 22:31:01	5.984
7/4/2017 02:31:01	5.921
7/4/2017 06:31:01	5.921
7/4/2017 10:31:01	5.795
7/4/2017 14:31:01	5.732
7/4/2017 18:31:01	5.67
7/4/2017 22:31:01	5.732
7/5/2017 02:31:01	5.858
7/5/2017 06:31:01	5.921
7/5/2017 10:31:01	5.984
7/5/2017 14:31:01	6.047
7/5/2017 18:31:01	6.047
7/5/2017 22:31:01	6.047
7/6/2017 02:31:01	6.109
7/6/2017 06:31:01	6.235
7/6/2017 10:31:01	6.235
7/6/2017 14:31:01	6.235
7/6/2017 18:31:01	6.235
7/6/2017 22:31:01	6.298
7/7/2017 02:31:01	6.361
7/7/2017 06:31:01	6.486
7/7/2017 10:31:01	6.549
7/7/2017 14:31:01	6.549
7/7/2017 18:31:01	6.549
7/7/2017 22:31:01	6.675
7/8/2017 02:31:01	6.8
7/8/2017 06:31:01	6.926
7/8/2017 10:31:01	6.989
7/8/2017 14:31:01	6.989
7/8/2017 18:09:01	7.052
7/8/2017 18:37:01	7.052
7/8/2017 22:37:01	7.115
7/9/2017 02:37:01	7.24
7/9/2017 06:37:01	7.366
7/9/2017 10:37:01	7.366
7/9/2017 14:37:01	7.366
7/9/2017 18:37:01	7.303
7/9/2017 22:37:01	7.366
7/10/2017 02:37:01	7.366
7/10/2017 06:37:01	7.366
7/10/2017 10:37:01	7.366
7/10/2017 14:37:01	7.303
